--------------------------------------------------------------------------------------------------------
|                                         ListFoundationModels                                         |
+------------------------------------------------+-------------------------------------+---------------+
|                     ModelId                    |                Name                 |   Provider    |
+------------------------------------------------+-------------------------------------+---------------+
|  stability.stable-fast-upscale-v1:0            |  Stable Image Fast Upscale          |  Stability AI |
|  anthropic.claude-sonnet-4-20250514-v1:0       |  Claude Sonnet 4                    |  Anthropic    |
|  anthropic.claude-haiku-4-5-20251001-v1:0      |  Claude Haiku 4.5                   |  Anthropic    |
|  stability.stable-image-erase-object-v1:0      |  Stable Image Erase Object          |  Stability AI |
|  stability.stable-image-control-structure-v1:0 |  Stable Image Control Structure     |  Stability AI |
|  openai.gpt-oss-120b-1:0                       |  gpt-oss-120b                       |  OpenAI       |
|  twelvelabs.marengo-embed-3-0-v1:0             |  Marengo Embed 3.0                  |  TwelveLabs   |
|  anthropic.claude-sonnet-4-5-20250929-v1:0     |  Claude Sonnet 4.5                  |  Anthropic    |
|  twelvelabs.marengo-embed-2-7-v1:0             |  Marengo Embed v2.7                 |  TwelveLabs   |
|  stability.stable-creative-upscale-v1:0        |  Stable Image Creative Upscale      |  Stability AI |
|  amazon.nova-2-multimodal-embeddings-v1:0      |  Amazon Nova Multimodal Embeddings  |  Amazon       |
|  stability.stable-outpaint-v1:0                |  Stable Image Outpaint              |  Stability AI |
|  stability.stable-image-inpaint-v1:0           |  Stable Image Inpaint               |  Stability AI |
|  anthropic.claude-opus-4-1-20250805-v1:0       |  Claude Opus 4.1                    |  Anthropic    |
|  amazon.nova-pro-v1:0                          |  Nova Pro                           |  Amazon       |
|  stability.stable-image-remove-background-v1:0 |  Stable Image Remove Background     |  Stability AI |
|  stability.stable-image-style-guide-v1:0       |  Stable Image Style Guide           |  Stability AI |
|  stability.stable-image-control-sketch-v1:0    |  Stable Image Control Sketch        |  Stability AI |
|  stability.stable-conservative-upscale-v1:0    |  Stable Image Conservative Upscale  |  Stability AI |
|  stability.stable-image-search-recolor-v1:0    |  Stable Image Search and Recolor    |  Stability AI |
|  twelvelabs.pegasus-1-2-v1:0                   |  Pegasus v1.2                       |  TwelveLabs   |
|  stability.stable-style-transfer-v1:0          |  Stable Image Style Transfer        |  Stability AI |
|  cohere.embed-v4:0                             |  Embed v4                           |  Cohere       |
|  stability.stable-image-search-replace-v1:0    |  Stable Image Search and Replace    |  Stability AI |
|  qwen.qwen3-coder-30b-a3b-v1:0                 |  Qwen3-Coder-30B-A3B-Instruct       |  Qwen         |
|  qwen.qwen3-32b-v1:0                           |  Qwen3 32B (dense)                  |  Qwen         |
|  openai.gpt-oss-20b-1:0                        |  gpt-oss-20b                        |  OpenAI       |
|  amazon.titan-tg1-large                        |  Titan Text Large                   |  Amazon       |
|  amazon.titan-image-generator-v1:0             |  Titan Image Generator G1           |  Amazon       |
|  amazon.titan-image-generator-v1               |  Titan Image Generator G1           |  Amazon       |
|  amazon.titan-image-generator-v2:0             |  Titan Image Generator G1 v2        |  Amazon       |
|  amazon.nova-premier-v1:0:8k                   |  Nova Premier                       |  Amazon       |
|  amazon.nova-premier-v1:0:20k                  |  Nova Premier                       |  Amazon       |
|  amazon.nova-premier-v1:0:1000k                |  Nova Premier                       |  Amazon       |
|  amazon.nova-premier-v1:0:mm                   |  Nova Premier                       |  Amazon       |
|  amazon.nova-premier-v1:0                      |  Nova Premier                       |  Amazon       |
|  amazon.nova-pro-v1:0:24k                      |  Nova Pro                           |  Amazon       |
|  amazon.nova-pro-v1:0:300k                     |  Nova Pro                           |  Amazon       |
|  amazon.nova-lite-v1:0:24k                     |  Nova Lite                          |  Amazon       |
|  amazon.nova-lite-v1:0:300k                    |  Nova Lite                          |  Amazon       |
|  amazon.nova-lite-v1:0                         |  Nova Lite                          |  Amazon       |
|  amazon.nova-canvas-v1:0                       |  Nova Canvas                        |  Amazon       |
|  amazon.nova-reel-v1:0                         |  Nova Reel                          |  Amazon       |
|  amazon.nova-reel-v1:1                         |  Nova Reel                          |  Amazon       |
|  amazon.nova-micro-v1:0:24k                    |  Nova Micro                         |  Amazon       |
|  amazon.nova-micro-v1:0:128k                   |  Nova Micro                         |  Amazon       |
|  amazon.nova-micro-v1:0                        |  Nova Micro                         |  Amazon       |
|  amazon.nova-sonic-v1:0                        |  Nova Sonic                         |  Amazon       |
|  amazon.titan-embed-g1-text-02                 |  Titan Text Embeddings v2           |  Amazon       |
